메인노출,노출순서,카테고리(category),제품명 (title),이미지이름 (imageName),detail,설명 (description)
O,1,object,mini vase,미니 화병.jpg,미니 화병 인센스 홀더,
O,2,object,lotus leaf,연잎.jpg,연잎 인센스 홀더,
O,3,object,pebble,조약돌.jpg,조약돌 인센스 홀더,
O,4,object,tenshi,천사.jpg,천사 귀걸이 홀더,
X,5,object,summer beach,여름 바다.jpg,여름 바다 비누받침,
O,6,tableware,omusubi,오니기리.jpg,오니기리,
O,7,tableware,ochazuke set,오차즈케.jpg,오차즈케,
O,8,pot,pot 1,1.jpg,pot1,
O,9,pot,pot 2,2.jpg,pot2,
O,10,pot,pot 3,3.jpg,pot3,
O,11,pot,pot 4,4.jpg,pot4,
X,12,pot,pot 5,5.jpg,pot5,
X,13,pot,pot 6,6.jpg,pot6,
X,14,pot,pot 7,7.jpg,pot7,
